Code,Description of Goods
01.05.94.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets"
01.05.94.10-11,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets - For breeding purposes; Started pullets: - Weighing not more than 2,000 g"
01.05.94.10-12,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets - For breeding purposes; Started pullets: - Weighing more than 2,000 g"
01.05.94.10-20,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets - Spent fowl: - Spent fowl"
01.05.94.91,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Within access commitment"
01.05.94.91-10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Within access commitment - Weighing not more than 2,000 g"
01.05.94.91-20,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Within access commitment - Weighing more than 2,000 g"
01.05.94.92,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Over access commitment"
01.05.94.92-10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Over access commitment - Weighing not more than 2,000 g"
01.05.94.92-20,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Over access commitment - Weighing more than 2,000 g"
00.01.05.99,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other"
01.05.99.11-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other - Turkeys: - Within access commitment"
01.05.99.12-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other - Turkeys: - Over access commitment"
01.05.99.90-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other - Other"
00.00.01.06,Other live animals.
01.06.11.00-00,Other live animals. - Mammals: - Primates
01.06.12.00-00,"Other live animals. - Mammals: - Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
01.06.13.00-00,Other live animals. - Mammals: - Camels and other camelids (Camelidae)
01.06.14.00-00,Other live animals. - Mammals: - Rabbits and hares
01.06.19.00,Other live animals. - Mammals: - Other
01.06.19.00-10,Other live animals. - Mammals: - Other - Minks
01.06.19.00-90,Other live animals. - Mammals: - Other - Other
01.06.20.00-00,Other live animals. - Reptiles (including snakes and turtles)
01.06.31.00-00,Other live animals. - Birds: - Birds of prey
01.06.32.00-00,"Other live animals. - Birds: - Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
01.06.33.00-00,Other live animals. - Birds: - Ostriches; emus (Dromaius novaehollandiae)
01.06.39.00,Other live animals. - Birds: - Other
01.06.39.00-10,Other live animals. - Birds: - Other - Pet or song birds
01.06.39.00-90,Other live animals. - Birds: - Other - Other
01.06.41.00,Other live animals. - Insects: - Bees
01.06.41.00-10,"Other live animals. - Insects: - Bees - Honey bees, not including queen bees: - Honey bees, not including queen bees"
01.06.41.00-20,Other live animals. - Insects: - Bees - Queen bees
01.06.41.00-90,Other live animals. - Insects: - Bees - Other
01.06.49.00-00,Other live animals. - Insects: - Other
01.06.90.00,Other live animals. - Other
01.06.90.00-10,"Other live animals. - Other - Honey bees, not including queen bees: - Bait"
01.06.90.00-20,Other live animals. - Other - Amphibians
01.06.90.00-90,Other live animals. - Other - Other
00.00.02.01,"Meat of bovine animals, fresh or chilled."
00.02.01.10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses"
02.01.10.10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Within access commitment"
02.01.10.10-10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Within access commitment - Veal"
02.01.10.10-90,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Within access commitment - Other"
02.01.10.20,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Over access commitment"
02.01.10.20-10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Over access commitment - Veal"
02.01.10.20-90,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Over access commitment - Other"
00.02.01.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in"
02.01.20.10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment"
02.01.20.10-10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Veal"
02.01.20.10-80,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Other, processed"
02.01.20.10-93,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Other: - Loin"
02.01.20.10-99,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Other: - Other"
02.01.20.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment"
02.01.20.20-10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Veal"
02.01.20.20-30,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Of bison"
02.01.20.20-91,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Other: - Rib"
02.01.20.20-93,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Other: - Loin"
02.01.20.20-99,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Other: - Other"
00.02.01.30,"Meat of bovine animals, fresh or chilled. - Boneless"
02.01.30.10,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment"
02.01.30.10-10,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment - Veal"
02.01.30.10-95,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment - Other: - Loin"
02.01.30.10-99,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment - Other: - Other"
02.01.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment"
02.01.30.20-10,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Veal"
02.01.30.20-50,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Of bison"
02.01.30.20-60,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other, processed"
02.01.30.20-92,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Chuck"
02.01.30.20-93,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Rib"
02.01.30.20-94,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Hip"
02.01.30.20-95,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Loin"
02.01.30.20-99,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Other"
00.00.02.02,"Meat of bovine animals, frozen."
00.02.02.10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses"
02.02.10.10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Within access commitment"
02.02.10.10-10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Within access commitment - Veal"
02.02.10.10-90,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Within access commitment - Other"
02.02.10.20,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Over access commitment"
02.02.10.20-10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Over access commitment - Veal"
02.02.10.20-90,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Over access commitment - Other"
00.02.02.20,"Meat of bovine animals, frozen. - Other cuts with bone in"
02.02.20.10,"Meat of bovine animals, frozen. - Other cuts with bone in - Within access commitment"
02.02.20.10-10,"Meat of bovine animals, frozen. - Other cuts with bone in - Within access commitment - Veal"
02.02.20.10-90,"Meat of bovine animals, frozen. - Other cuts with bone in - Within access commitment - Other: - Other"
02.02.20.20,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment"
02.02.20.20-10,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment - Veal"
02.02.20.20-30,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment - Of bison"
02.02.20.20-90,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment - Other: - Other"
00.02.02.30,"Meat of bovine animals, frozen. - Boneless"
02.02.30.10,"Meat of bovine animals, frozen. - Boneless - Within access commitment"
02.02.30.10-10,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Veal"
02.02.30.10-70,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Other, processed"
02.02.30.10-81,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Other, quarters: - Forequarter"
02.02.30.10-82,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Other, quarters: - Hindquarter"
02.02.30.10-95,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Other: - Eye of round, outside round, inside round, outside flat and sirloin tip"
02.02.30.10-96,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Other: - Hip"
02.02.30.10-97,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Other: - Loin"
02.02.30.10-99,"Meat of bovine animals, frozen. - Boneless - Within access commitment - Other: - Other"
02.02.30.20,"Meat of bovine animals, frozen. - Boneless - Over access commitment"
02.02.30.20-10,"Meat of bovine animals, frozen. - Boneless - Over access commitment - Veal"
02.02.30.20-50,"Meat of bovine animals, frozen. - Boneless - Over access commitment - Of bison"
02.02.30.20-95,"Meat of bovine animals, frozen. - Boneless - Over access commitment - Other: - Eye of round, outside round, inside round, outside flat and sirloin tip"
02.02.30.20-97,"Meat of bovine animals, frozen. - Boneless - Over access commitment - Other: - Loin"
02.02.30.20-99,"Meat of bovine animals, frozen. - Boneless - Over access commitment - Other: - Other"
00.00.02.03,"Meat of swine, fresh, chilled or frozen."
02.03.11.00-00,"Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - Carcasses and half-carcasses"
02.03.12.00-00,"Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - Hams, shoulders and cuts thereof, with bone in"
02.03.19.00,"Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - Other"
02.03.19.00-10,"Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - Other - Spare ribs"
02.03.19.00-20,"Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - Other - Back ribs"
02.03.19.00-91,"Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - Other - Other: - Processed"
02.03.19.00-99,"Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - Other - Other: - Other"
02.03.21.00-00,"Meat of swine, fresh, chilled or frozen. - Frozen: - Carcasses and half-carcasses"
02.03.22.00-00,"Meat of swine, fresh, chilled or frozen. - Frozen: - Hams, shoulders and cuts thereof, with bone in"
02.03.29.00,"Meat of swine, fresh, chilled or frozen. - Frozen: - Other"
02.03.29.00-10,"Meat of swine, fresh, chilled or frozen. - Frozen: - Other - Spare ribs"
02.03.29.00-20,"Meat of swine, fresh, chilled or frozen. - Frozen: - Other - Back ribs"
02.03.29.00-90,"Meat of swine, fresh, chilled or frozen. - Frozen: - Other - Other"
00.00.02.04,"Meat of sheep or goats, fresh, chilled or frozen."
02.04.10.00-00,"Meat of sheep or goats, fresh, chilled or frozen. - Carcasses and half-carcasses of lamb, fresh or chilled"
02.04.21.00-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, fresh or chilled: - Carcasses and half-carcasses"
02.04.22.00-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, fresh or chilled: - Other cuts with bone in"
02.04.23.00-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, fresh or chilled: - Boneless"
02.04.30.00-00,"Meat of sheep or goats, fresh, chilled or frozen. - Carcasses and half-carcasses of lamb, frozen"
02.04.41.00-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, frozen: - Carcasses and half-carcasses"
00.02.04.42,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, frozen: - Other cuts with bone in"
02.04.42.10-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, frozen: - Other cuts with bone in - Of lamb"
02.04.42.20-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, frozen: - Other cuts with bone in - Of mutton"
00.02.04.43,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, frozen: - Boneless"
02.04.43.10-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, frozen: - Boneless - Of lamb"
02.04.43.20-00,"Meat of sheep or goats, fresh, chilled or frozen. - Other meat of sheep, frozen: - Boneless - Of mutton"
02.04.50.00-00,"Meat of sheep or goats, fresh, chilled or frozen. - Meat of goats"
02.05.00.00-00,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
00.00.02.06,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen."
02.06.10.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Of bovine animals, fresh or chilled"
02.06.21.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Of bovine animals, frozen: - Tongues"
02.06.22.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Of bovine animals, frozen: - Livers"
02.06.29.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Of bovine animals, frozen: - Other"
02.06.30.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Of swine, fresh or chilled"
02.06.41.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Of swine, frozen: - Livers"
02.06.49.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Of swine, frozen: - Other"
02.06.80.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Other, fresh or chilled"
02.06.90.00-00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - Other, frozen"
00.00.02.07,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen."
00.02.07.11,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, fresh or chilled"
02.07.11.10-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, fresh or chilled - Spent fowl"
02.07.11.91-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, fresh or chilled - Other: - Within access commitment"
02.07.11.92-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, fresh or chilled - Other: - Over access commitment"
00.02.07.12,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, frozen"
02.07.12.10-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, frozen - Spent fowl"
02.07.12.91-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, frozen - Other: - Within access commitment"
02.07.12.92-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Not cut in pieces, frozen - Other: - Over access commitment"
00.02.07.13,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, fresh or chilled"
02.07.13.10-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, fresh or chilled - Spent fowl"
02.07.13.91-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, fresh or chilled - Other: - Within access commitment"
02.07.13.92-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, fresh or chilled - Other: - Over access commitment, bone in"
02.07.13.93-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, fresh or chilled - Other: - Over access commitment, boneless"
00.02.07.14,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen"
02.07.14.10,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Spent fowl"
02.07.14.10-10,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Spent fowl - Leg quarters"
02.07.14.10-20,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Spent fowl - Legs, excluding leg quarters"
02.07.14.10-30,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Spent fowl - Wings, wing tips or parts thereof"
02.07.14.10-40,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Spent fowl - Offal: - Offal"
02.07.14.10-90,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Spent fowl - Other"
02.07.14.21-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Livers: - Within access commitment"
02.07.14.22-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Livers: - Over access commitment"
02.07.14.91,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Within access commitment"
02.07.14.91-10,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Within access commitment - Leg quarters"
02.07.14.91-20,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Within access commitment - Legs, excluding leg quarters"
02.07.14.91-30,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Within access commitment - Wings, wing tips or parts thereof"
02.07.14.91-41,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Within access commitment - Offal: - Feet"
02.07.14.91-49,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Within access commitment - Offal: - Other"
02.07.14.91-90,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Within access commitment - Other"
02.07.14.92-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Over access commitment, bone in"
02.07.14.93-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of fowls of the species Gallus domesticus: - Cuts and offal, frozen - Other: - Over access commitment, boneless"
00.02.07.24,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, fresh or chilled"
02.07.24.11-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, fresh or chilled - Canner pack: - Within access commitment"
02.07.24.12-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, fresh or chilled - Canner pack: - Over access commitment"
02.07.24.91-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, fresh or chilled - Other: - Within access commitment"
02.07.24.92-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, fresh or chilled - Other: - Over access commitment"
00.02.07.25,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, frozen"
02.07.25.11-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, frozen - Canner pack: - Within access commitment"
02.07.25.12-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, frozen - Canner pack: - Over access commitment"
02.07.25.91-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, frozen - Other: - Within access commitment"
02.07.25.92-00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Not cut in pieces, frozen - Other: - Over access commitment"
00.02.07.26,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
 - Of turkeys: - Cuts and offal, fresh or chilled"
